Buenos Aires,26,364
Ciudad de Buenos Aires,34,407
Catamarca,0,0
Chaco,8,115
Chubut,0,0
Córdoba,3,134
Corrientes,0,22
Entre Ríos,0,18
Formosa,0,0
Jujuy,0,5
LaPampa,0,3
LaRioja,2,6
Mendoza,0,27
Misiones,0,3
Neuquén,4,33
RíoNegro,5,15
Salta,0,3
San Juan,0,1
San Luis,0,10
Santa Cruz,1,22
SantaFe,5,165
Santiago del Estero,1,4
Tierra del Fuego,8,72
Tucumán,1,22
